avg_commission_rate;block_time;epoch;stake_account_count;staker_rewards_sol;total_inflationary_sol;validator_count;voting_rewards_sol
0.0363046728350135;2025-03-17 23:58:29.000 UTC;758;1246985;109021.782372926;151935.64595087798;1362;42913.863577952
0.0361473168334512;2025-03-19 23:56:16.000 UTC;759;1267107;109153.096461363;151838.67866098002;1360;42685.582199617
0.03616805378997631;2025-03-21 23:54:36.000 UTC;760;1268876;109049.408676743;151741.759538196;1374;42692.350861453
0.036474269540476556;2025-03-23 23:50:40.000 UTC;761;1281766;108868.417215666;151644.86126079102;1334;42776.444045125
0.03619351579477393;2025-03-25 23:45:18.000 UTC;762;1275035;108848.053929033;151547.985231127;1352;42699.931302094
0.036406743509592124;2025-03-27 23:37:33.000 UTC;763;1294239;109166.659687278;151451.142109631;1347;42284.482422353
0.03666199322342222;2025-03-29 23:35:48.000 UTC;764;1262978;109051.838748452;151354.32694530202;1334;42302.48819685
0.036779774874370154;2025-03-31 23:44:14.000 UTC;765;1268881;109152.325445601;151257.542814763;1316;42105.217369162
0.036831107300179224;2025-04-03 00:04:01.000 UTC;766;1268818;109003.012131413;151160.781964348;1319;42157.769832935
0.03683767652612627;2025-04-05 00:00:19.000 UTC;767;1270583;109106.269026442;151064.054129972;1322;41957.78510353
0.03703336167810905;2025-04-06 23:55:14.000 UTC;768;1240170;108785.424029877;150967.35555702;1323;42181.931527143
0.0369522565496346;2025-04-08 23:44:04.000 UTC;769;1250026;108649.54871378;150870.677130403;1343;42221.128416623
0.03685364210097841;2025-04-10 23:27:44.000 UTC;770;1232563;108497.966097619;150774.02528428;1327;42276.059186661
0.03708871356635431;2025-04-12 23:14:47.000 UTC;771;1244873;108461.0551073;150677.398238052;1317;42216.343130752
0.03698062223199163;2025-04-14 23:01:38.000 UTC;772;1233675;108619.839363158;150580.806598422;1316;41960.967235264
0.036841555848222754;2025-04-16 22:51:48.000 UTC;773;1236456;108595.525377341;150484.236782022;1316;41888.711404681
0.03691114804400115;2025-04-18 22:26:48.000 UTC;774;956601;108796.587471431;150387.706741725;1334;41591.119270294
0.03688359929075977;2025-04-20 21:50:21.000 UTC;775;961447;108703.637844079;150291.204684648;1316;41587.566840569
0.036862896974029453;2025-04-22 21:15:51.000 UTC;776;939719;108692.960659712;150194.724973431;1337;41501.764313719
0.036677307148457745;2025-04-24 20:53:36.000 UTC;777;944203;108269.046316009;150098.26438886998;1332;41829.218072861
0.03682523771318251;2025-04-26 20:24:27.000 UTC;778;934279;107905.029245575;150001.829625885;1333;42096.80038031
0.03689807388632147;2025-04-28 19:56:17.000 UTC;779;946489;108110.768237955;149905.43017553;1325;41794.661937575
0.0366693844931535;2025-04-30 19:23:26.000 UTC;780;932596;108132.609090425;149809.063597669;1327;41676.454507244
0.03698798332525445;2025-05-02 18:48:09.000 UTC;781;940315;107944.828225915;149712.721890717;1326;41767.893664802
0.03685874708817371;2025-05-04 18:04:08.000 UTC;782;929984;108134.358914859;149616.416855224;1323;41482.057940365
0.03683130818906621;2025-05-06 17:20:47.000 UTC;783;942108;107974.650950704;149520.136480239;1319;41545.485529535
0.036772817809802225;2025-05-08 16:51:08.000 UTC;784;914788;107885.10934921;149423.880017491;1318;41538.770668281
0.03662349197333723;2025-05-10 16:10:25.000 UTC;785;924492;107390.24575188;149327.65163114498;1308;41937.405879265
0.03671888496866148;2025-05-12 15:30:43.000 UTC;786;911677;106855.949720105;149231.458146608;1306;42375.508426503
0.03635030188987357;2025-05-14 15:07:05.000 UTC;787;924114;107307.501711374;149135.302978904;1297;41827.80126753
0.035957621013074086;2025-05-16 14:38:16.000 UTC;788;938132;107860.832985871;149039.188941939;1240;41178.355956068
0.035959020659447664;2025-05-18 14:04:30.000 UTC;789;958279;107961.1429891;148943.103460957;1213;40981.960471857
0.03589651746828522;2025-05-20 13:30:45.000 UTC;790;953342;108008.82741201;148847.046854295;1235;40838.219442285
0.03611729390277262;2025-05-22 12:53:53.000 UTC;791;946396;107651.954337401;148751.023582679;1197;41099.069245278
0.035809418944724586;2025-05-24 12:17:12.000 UTC;792;946004;107936.837766519;148655.03091479;1186;40718.193148271
0.03567803520143798;2025-05-26 11:35:24.000 UTC;793;967074;107983.064410251;148559.080283641;1183;40576.01587339
0.03564492785958759;2025-05-28 10:46:26.000 UTC;794;946132;107917.160430411;148463.154536389;1181;40545.994105978
