market_condition;program_id;tx_count;success_count;total_fees_sol;total_cu;avg_fee_per_cu_lamports;median_fee_per_cu_lamports;days_observed
elevated;9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;42013898;26065861;225.7363;12814474587;1.2226;1.211;4
elevated;BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;15409423;8240649;115.103;4322718652;8.8037;9.2255;4
elevated;DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;243718;243718;4.7368;1942059946;1.8116;1.8134;4
elevated;routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;151145;117228;4.6633;17495930711;0.2233;0.2172;4
elevated;EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;226578;137606;3.3562;314157942;7.0771;0.0;4
elevated;phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;478393;323895;2.3922;70825760822;0.0;0.0;4
elevated;7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;158274;158274;1.6069;397462116;2.0517;2.0514;2
elevated;675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;40027;39362;1.5066;1139009563;1.147;1.1637;4
elevated;HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;9905;9814;1.1258;2226669580;0.4834;0.4824;4
elevated;KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;7194;6448;1.0598;883485645;1.1588;1.06;4
elevated;JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;92028;76974;0.9038;17436066892;0.0254;0.0248;4
elevated;pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;133694;133665;0.7619;10489055488;0.0089;0.0089;4
elevated;D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;66835;66835;0.6856;298891956;1.1757;0.9165;4
elevated;FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;125731;119534;0.6287;10632371888;0.0;0.0;4
elevated;LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;48515;47592;0.5934;3045095647;0.1152;0.1347;4
elevated;cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;16475;11446;0.5375;1054959440;0.4314;0.4179;4
elevated;dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;55891;52997;0.454;4710767342;0.0371;0.0351;4
elevated;EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;36493;36493;0.3567;206146001;0.845;0.8777;4
elevated;RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;1896;1643;0.3268;372030775;0.8529;1.017;4
elevated;ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;3375;3321;0.3009;254629379;1.1156;1.0751;4
elevated;CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;20671;17674;0.2082;682714401;0.1535;0.1129;4
elevated;dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;38517;37490;0.1937;6924725603;0.0002;0.0001;4
elevated;FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;30335;30291;0.1517;956784289;0.0;0.0;4
elevated;FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;11146;10645;0.1415;1201043269;0.0714;0.0531;4
elevated;APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;11146;11025;0.1306;1543260213;0.0485;0.0479;4
elevated;CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;12787;12045;0.1292;1037334519;0.0629;0.0604;4
elevated;FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;3967;3966;0.1247;356585803;0.2941;0.206;4
elevated;6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;23903;23903;0.1195;341392072;0.0;0.0;4
elevated;99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;13983;13399;0.1008;286563928;0.1077;0.1137;4
elevated;whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;5476;5061;0.0776;198360776;0.2533;0.1705;4
elevated;wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;11703;11702;0.0666;749409091;0.0108;0.0093;4
